YTID,start_seconds,end_seconds,positive_labels
4JBk2yckSrE,160.0,170.0,"/m/04rlf,/t/dd00129"
4LBS3VFmjA4,590.0,600.0,"/m/04rlf,/t/dd00129"
4LLs_MtW42o,30.0,40.0,/t/dd00129
4LOjGXuePx0,360.0,370.0,"/m/0cj0r,/t/dd00129"
4LW1lscPUR8,50.0,60.0,"/m/07yv9,/t/dd00129"
4L_DekeqxW8,40.0,50.0,"/m/07rknqz,/m/07yv9,/m/0h9mv,/m/0k4j,/t/dd00129"
4NdmdKG8Yys,40.0,50.0,"/m/01280g,/t/dd00129"
4NefHpDtjpg,30.0,40.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
4NiQlXvL7PM,350.0,360.0,"/m/019jd,/m/06q74,/t/dd00129"
4OYNs4kclkU,360.0,370.0,"/m/04rlf,/t/dd00129"
4OnH6YYgFVA,100.0,110.0,"/m/07r04,/m/07yv9,/t/dd00129"
4PCXdaDJWko,10.0,20.0,/t/dd00129
4Py-o-RAEvE,210.0,220.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
4Q2JYPLvSms,0.0,10.0,"/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
4QJGRBEd1KY,30.0,40.0,/t/dd00129
4QfglgW2t5U,0.0,10.0,"/m/07yv9,/t/dd00129"
4Ql5HmFoSOg,0.0,10.0,/t/dd00129
4R9Oa6ntqic,310.0,320.0,"/m/07yv9,/m/0k4j,/t/dd00129"
4RRdR5xgGf4,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/07xzm,/t/dd00129"
4RjQHCZ-8Lw,60.0,70.0,/t/dd00129
4RmHEMFA2m4,20.0,30.0,"/m/04rlf,/t/dd00129"
4TQLix1qw1g,150.0,160.0,"/m/04rlf,/t/dd00129"
4TSyzSpuv-k,30.0,40.0,"/m/01jwx6,/m/07pb8fc,/m/07yv9,/t/dd00129"
4U8kGXZs_aU,30.0,40.0,"/m/04rlf,/m/0jbk,/t/dd00129"
4VukpYYG_HA,170.0,180.0,/t/dd00129
4XY6GPMN3r0,240.0,250.0,/t/dd00129
4XpaXrD3BfI,30.0,40.0,/t/dd00129
4YbDjc3Xb1E,30.0,40.0,"/m/06bz3,/t/dd00129"
4YoEZcqyU1c,30.0,40.0,"/m/04rlf,/m/06h7j,/t/dd00129"
4Z1SFg80_vQ,180.0,190.0,"/m/04rlf,/t/dd00129"
4ZFI_YFKyTo,50.0,60.0,"/m/07yv9,/m/0k5j,/t/dd00129"
4_1-cUbVV-c,90.0,100.0,"/m/019jd,/m/02rlv9,/m/07yv9,/t/dd00129"
4_1-tqSJ-sY,100.0,110.0,"/m/07p6mqd,/t/dd00129"
4_55SnLgXEk,20.0,30.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
4_C2ToNVSf8,460.0,470.0,"/m/0cmf2,/t/dd00129"
4_CckXIuTC4,10.0,20.0,"/m/0cj0r,/t/dd00129"
4_EgVpwwuL0,30.0,40.0,/t/dd00129
4_HX0noVj6E,30.0,40.0,/t/dd00129
4_JUKk6QtNc,150.0,160.0,/t/dd00129
4_Wx_Ue8dFE,40.0,50.0,"/g/122z_qxw,/m/068hy,/m/0jbk,/t/dd00129"
4_wv8twmKDI,110.0,120.0,"/m/07yv9,/t/dd00129"
4_zDEEGPVKg,120.0,130.0,"/m/07r04,/m/07yv9,/t/dd00129"
4aCUJCv2bvM,270.0,280.0,/t/dd00129
4aSBSyr4ZxI,5.0,15.0,/t/dd00129
4adG-HZ4Z7Q,340.0,350.0,"/m/073cg4,/t/dd00129"
4btGTxWfTXE,190.0,200.0,"/m/07yv9,/m/0k4j,/t/dd00129"
4cC8FNz8_vY,20.0,30.0,/t/dd00129
4cOIWiwBYFk,10.0,20.0,/t/dd00129
4ciZ5GP_EZw,0.0,10.0,/t/dd00129
4cjDi88sC7I,120.0,130.0,"/m/07yv9,/t/dd00129"
4d6kgBe5pPM,30.0,40.0,/t/dd00129
4dSzEEFUMxM,50.0,60.0,"/m/012f08,/m/07q2z82,/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00066,/t/dd00129"
4d_4Qe5u_MQ,110.0,120.0,/t/dd00129
4dlCmSKQjWo,400.0,410.0,"/m/04rlf,/t/dd00129"
4dmBaDl584M,0.0,10.0,"/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
4dvJeiQf9DA,0.0,10.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
4e1dR23888Y,90.0,100.0,"/m/0jbk,/t/dd00129"
4e6X4uSLhLE,190.0,200.0,/t/dd00129
4eMJeHU_DE0,20.0,30.0,"/m/07yv9,/t/dd00129"
4eON0jToq4A,10.0,20.0,"/m/07r04,/m/07yv9,/t/dd00129"
4enE5-pyLRQ,80.0,90.0,"/m/07r04,/m/07yv9,/t/dd00129"
4eo9et0GzZQ,30.0,40.0,"/m/07yv9,/m/0k4j,/t/dd00129"
4feRmH0PU_8,20.0,30.0,/t/dd00129
4fx_nx-SEvY,60.0,70.0,"/m/04k94,/t/dd00129"
4g1FEUTofm0,30.0,40.0,"/m/0jbk,/t/dd00129"
4gM_5gyM_FA,70.0,80.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
4gZrjiQtcko,50.0,60.0,"/m/04rlf,/t/dd00129"
4guDYeGdT5I,130.0,140.0,"/m/04rlf,/t/dd00129"
4gzRs9DshpM,80.0,90.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
4hw6TtM8hCI,30.0,40.0,"/m/0_1c,/t/dd00129"
4iG4VXoVUGQ,90.0,100.0,/t/dd00129
4iZ-M0PvCOk,90.0,100.0,"/m/04rlf,/t/dd00129"
4j2KuWhT_Ss,0.0,10.0,"/m/01j4z9,/m/04rlf,/m/07k1x,/t/dd00129"
4j4vPUfWylQ,120.0,130.0,"/m/04rlf,/t/dd00129"
4jm1LONrbuY,220.0,230.0,/t/dd00129
4ktyLwz-kgQ,10.0,20.0,"/m/07yv9,/t/dd00129"
4mBtncyE0AE,10.0,20.0,/t/dd00129
4mXikhkrUXA,10.0,20.0,"/m/07yv9,/m/09ct_,/m/0k5j,/t/dd00129"
4mZrwXnyzpk,0.0,10.0,"/m/07yv9,/t/dd00129"
4mhB2liyuVc,140.0,150.0,"/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
4n3d7uoBK3w,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
4nG86XWJiWg,30.0,40.0,/t/dd00129
4nLubyoJsWQ,30.0,40.0,"/m/0jbk,/t/dd00129"
4nQLxIO5SF4,480.0,490.0,"/m/012f08,/m/04rlf,/m/07r04,/m/07yv9,/t/dd00129"
4ne-AXQP7n4,30.0,40.0,"/m/07r04,/m/07yv9,/m/0ltv,/t/dd00129"
4noTw7JCajU,21.0,31.0,"/m/0jbk,/t/dd00129"
4o3FZCWptKw,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00129"
4o5SUPwIjTs,0.0,6.0,/t/dd00129
4oY8AcIuEFw,130.0,140.0,/t/dd00129
4o_uU-a3TR8,210.0,220.0,"/m/04rlf,/t/dd00129"
4od6i0-HQoo,540.0,550.0,"/m/07yv9,/t/dd00129"
4p7PyDE4WK8,180.0,190.0,/t/dd00129
4plItbIKmac,60.0,70.0,"/m/0j6m2,/t/dd00129"
4qxi9ntG_Po,30.0,40.0,"/m/078jl,/m/0jbk,/t/dd00129"
4r4kJRwvTnk,210.0,220.0,"/m/06_y0by,/t/dd00129"
4rA-N1b1Qlg,30.0,40.0,/t/dd00129
4rKTjQ1WitQ,20.0,30.0,"/m/0jbk,/t/dd00129"
4rY0hKpPMkw,160.0,170.0,"/m/04rlf,/t/dd00129"
4suuILEApPs,20.0,30.0,"/m/073cg4,/t/dd00129"
4tDVtgHYz08,60.0,70.0,"/m/04_sv,/m/07yv9,/t/dd00129"
4tRlgk--1ro,390.0,400.0,"/m/04_sv,/m/07yv9,/t/dd00129"
4twlbAUYOzk,160.0,170.0,"/m/07r04,/m/07yv9,/t/dd00129"
4u3DGzvvxzY,40.0,50.0,/t/dd00129
4uluVb1iNy0,30.0,40.0,/t/dd00129
4un2Mtt-3yo,10.0,20.0,/t/dd00129
4utXb3auOew,490.0,500.0,/t/dd00129
4vIIJNiwtas,40.0,50.0,/t/dd00129
4vWUWFvMvkg,30.0,40.0,"/m/04rlf,/t/dd00129"
4vfw7WDaQjE,90.0,100.0,/t/dd00129
4wTJTlJ_Rtw,130.0,140.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
4xi46JhtNYQ,40.0,50.0,"/m/07yv9,/t/dd00129"
4y5TirI6M8A,30.0,40.0,/t/dd00129
4yPWG8UTzww,40.0,50.0,/t/dd00129
4yVmJHk5_RI,430.0,440.0,"/m/04rlf,/t/dd00129"
4ynltrtzCgk,140.0,150.0,/t/dd00129
4yuIc8yA24M,70.0,80.0,"/m/04rlf,/m/07pxg6y,/t/dd00129"
4z4S6rkOvSA,0.0,10.0,"/m/01j4z9,/t/dd00129"
4z8jXt95j78,220.0,230.0,"/m/07r04,/m/07yv9,/t/dd00129"
4zCGF-4R-Ws,10.0,20.0,"/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
4zLA-YNBhlc,50.0,60.0,"/m/068hy,/m/0jbk,/t/dd00129"
4zc3py952pk,160.0,170.0,"/m/04rlf,/t/dd00129"
4zumLdexwV4,90.0,100.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5-YGMA9y0d8,40.0,50.0,/t/dd00129
5-fW5sp4OYE,0.0,10.0,/t/dd00129
5-fyfJU-Bxc,180.0,190.0,/t/dd00129
5-lRAdfET_I,0.0,10.0,/t/dd00129
5-n3lzzqUuw,30.0,40.0,"/m/07jdr,/m/07yv9,/t/dd00129"
5-x183ffPBY,410.0,420.0,"/m/07r04,/m/07yv9,/t/dd00129"
501A00i7q34,100.0,110.0,"/m/01jwx6,/m/02mk9,/m/07yv9,/t/dd00129"
507N9y_eBU0,30.0,40.0,"/m/07jdr,/m/07yv9,/t/dd00129"
50Tb4jzhhGk,24.0,34.0,/t/dd00129
50fgPhhhOvg,80.0,90.0,/t/dd00129
50n4o89sSds,27.0,37.0,/t/dd00129
50xJxwnPjuA,0.0,10.0,"/m/015lz1,/m/04rlf,/t/dd00129"
51FaaxLZVo0,580.0,590.0,/t/dd00129
51WgtzP2YWI,10.0,20.0,/t/dd00129
51YMxFS7gUk,60.0,70.0,/t/dd00129
51xj1-rzHmo,170.0,180.0,"/m/0dbvp,/t/dd00129"
523cFZTGYx0,230.0,240.0,"/m/07r04,/m/07yv9,/t/dd00067,/t/dd00129"
52aP-_WWpUw,60.0,70.0,"/m/04rlf,/t/dd00129"
52gWo6PoyQU,30.0,40.0,"/m/07jdr,/m/07yv9,/t/dd00129"
52iJSlLfNQE,100.0,110.0,"/m/0jbk,/t/dd00129"
52t8N_OLg0I,0.0,10.0,"/m/04rlf,/m/05kq4,/t/dd00129"
54V-fspzckE,200.0,210.0,"/m/07yv9,/m/09ct_,/m/0k5j,/t/dd00129"
54gD_Q8C9pQ,20.0,30.0,"/m/07yv9,/t/dd00129"
55Cf0MeFxSE,200.0,210.0,"/m/04rlf,/t/dd00129"
55PLHRh-Rts,120.0,130.0,"/m/0dv3j,/t/dd00129"
55jUNSFOyQo,100.0,110.0,/t/dd00129
55yoMVPzQls,30.0,40.0,"/m/06h7j,/t/dd00129"
563MInD9UuE,90.0,100.0,/t/dd00129
568y1NcKmZQ,100.0,110.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
56KnEXIKUmU,190.0,200.0,/t/dd00129
56PNujgvsQk,30.0,40.0,/t/dd00129
56UAStsBq9k,30.0,40.0,/t/dd00129
56ckFNc1IWc,80.0,90.0,"/m/04rlf,/m/0jbk,/t/dd00129"
56xenikUh4A,0.0,10.0,/t/dd00129
57_WFo_7LiE,370.0,380.0,"/m/04rlf,/t/dd00129"
57bsE-SLK2s,90.0,100.0,"/m/0199g,/m/07yv9,/t/dd00129"
57k-hSDoYLQ,20.0,30.0,/t/dd00129
5895C6DStJQ,190.0,200.0,"/m/07qv_d5,/m/07yv9,/t/dd00129"
58XidwtMP1I,50.0,60.0,"/m/07yv9,/t/dd00129"
58YmBQRlM0k,60.0,70.0,"/m/07yv9,/m/0cmf2,/t/dd00129"
58Yq3gchp5k,100.0,110.0,/t/dd00129
58hDI7bk02U,170.0,180.0,"/m/04rlf,/t/dd00129"
58tqx60Q_wA,30.0,40.0,"/m/015lz1,/m/04rlf,/m/07xzm,/t/dd00129"
58vs4YD2Q1o,2.0,12.0,/t/dd00129
59rBmwGoWwU,50.0,60.0,"/m/07p6mqd,/t/dd00129"
5A8jGrZKiRE,0.0,10.0,"/m/04cvmfc,/m/04rlf,/t/dd00129"
5AHRoMkRWZw,70.0,80.0,/t/dd00129
5AYHYrikgTg,40.0,50.0,/t/dd00129
5ApMCGHYrdE,20.0,30.0,"/m/07p9k1k,/m/07pjwq1,/t/dd00129"
5BMlCHU6eZM,140.0,150.0,/t/dd00129
5BSMF_F-1PM,240.0,250.0,"/m/02mk9,/t/dd00129"
5BvBPeuOILU,40.0,50.0,"/m/028v0c,/t/dd00129"
5CJdeLO13y0,100.0,110.0,/t/dd00129
5CL6CbhmMkI,110.0,120.0,/t/dd00129
5CsfpvnGBqs,110.0,120.0,"/m/07yv9,/t/dd00129"
5CwnQ01fN3Y,570.0,580.0,"/m/04rlf,/t/dd00129"
5DCcVBx_4v0,110.0,120.0,"/m/04rlf,/t/dd00125,/t/dd00129"
5EItomk0Nv0,230.0,240.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5FAQ58IeGnA,290.0,300.0,/t/dd00129
5FDC0JFNqAI,70.0,80.0,"/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5FXNA6IbL2k,10.0,20.0,"/m/028v0c,/m/06h7j,/t/dd00129"
5FjU3NNtqUs,370.0,380.0,"/m/07yv9,/t/dd00129"
5FnU6ONLr6w,190.0,200.0,/t/dd00129
5Fux1JhURX0,18.0,28.0,"/m/0jbk,/t/dd00129"
5G0fMUONHdg,0.0,10.0,"/m/019jd,/m/02rlv9,/m/07yv9,/t/dd00129"
5GXbpFGSZ7I,0.0,10.0,"/m/07yv9,/m/09ct_,/t/dd00129"
5GjvpDrhRLk,0.0,10.0,"/m/07yv9,/m/0ltv,/t/dd00129"
5GlpbjTgMUo,20.0,30.0,"/m/04_sv,/m/07yv9,/t/dd00129"
5H0DcNYihFk,180.0,190.0,/t/dd00129
5H3UR8OzW_0,170.0,180.0,"/m/04rlf,/t/dd00129"
5HIeDHER020,30.0,40.0,"/m/05kq4,/t/dd00129"
5HeRkQzhJws,50.0,60.0,"/m/04rlf,/m/0cdnk,/m/0jbk,/t/dd00129"
5HmLHCGkoqY,70.0,80.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129"
5I5GDN0hzWM,90.0,100.0,/t/dd00129
5I7w-Vb0O2o,180.0,190.0,"/m/04rlf,/t/dd00129"
5IeDg6uB_Fs,80.0,90.0,"/m/07yv9,/t/dd00129"
5IpaUmnA5BY,20.0,30.0,"/m/07yv9,/t/dd00129"
5IyxXQ2qO0I,0.0,10.0,"/m/07yv9,/t/dd00129"
5J1FN4c89X4,240.0,250.0,/t/dd00129
5J3mls6iLwk,30.0,40.0,/t/dd00129
5JX8rok1Mu0,12.0,22.0,"/m/078jl,/m/0jbk,/t/dd00129"
5JdDvvSabAs,70.0,80.0,/t/dd00129
5K7zCNjmtLg,110.0,120.0,"/m/07yv9,/t/dd00129"
5KdoagsMUzk,420.0,430.0,"/m/019jd,/m/07p6mqd,/m/07yv9,/t/dd00129"
5KlY1xb_j7U,0.0,10.0,/t/dd00129
5KpaeVJnb_E,10.0,20.0,/t/dd00129
5LFxUbvSy9o,200.0,210.0,"/m/04rlf,/t/dd00129"
5MMjmT1CXzA,240.0,250.0,"/m/04rlf,/t/dd00129"
5Mc-KQbbhdU,30.0,40.0,"/m/07yv9,/t/dd00129"
5NEwnQ3RG5s,60.0,70.0,/t/dd00129
5NHCbIAdero,520.0,530.0,"/m/04rlf,/t/dd00129"
5NO2PoXzJqs,20.0,30.0,"/m/04rlf,/t/dd00129"
5NjW8ipCdME,20.0,30.0,"/m/04rlf,/t/dd00129"
5O2X64IXRMY,350.0,360.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5OCqyiE0hTU,30.0,40.0,"/m/073cg4,/t/dd00129"
5OthA-WxqkU,30.0,40.0,"/m/02mk9,/m/07r04,/m/07yv9,/t/dd00067,/t/dd00129"
5PBwSb4LMk0,0.0,10.0,/t/dd00129
5PaO--BFMg4,120.0,130.0,/t/dd00129
5Pmppiw8zTg,30.0,40.0,"/m/04rlf,/t/dd00129"
5QJZAoI0qYI,30.0,40.0,"/m/0jbk,/t/dd00129"
5QrF8gyxOHU,10.0,20.0,/t/dd00129
5QyvinHiD_Y,90.0,100.0,/t/dd00129
5RWW0jhmq_g,20.0,30.0,"/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00129"
5RaXgdulQNg,0.0,10.0,"/m/04_sv,/m/07yv9,/t/dd00129"
5RiwMAGHteQ,70.0,80.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5RrSaXgoOek,0.0,10.0,"/m/04rlf,/t/dd00129"
5S4Q2IQSJnE,30.0,40.0,"/m/0jbk,/t/dd00129"
5S_rP3S53T4,50.0,60.0,"/m/019jd,/m/02rlv9,/m/07yv9,/t/dd00129"
5Sawvexlnso,180.0,190.0,/t/dd00129
5Sb6iIjfors,450.0,460.0,"/m/07yv9,/m/0k4j,/t/dd00129"
5SyPwjqnFZE,30.0,40.0,"/m/078jl,/m/0jbk,/t/dd00129"
5TgALTCo3bk,160.0,170.0,/t/dd00129
5TsbCSErWpw,50.0,60.0,/t/dd00129
5U9c-fi_MAU,180.0,190.0,"/m/04rlf,/t/dd00129"
5UE6_Pmxn1Q,50.0,60.0,"/m/04rlf,/m/07yv9,/t/dd00129"
5UWPQXpywBE,30.0,40.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5UhQl84EOFQ,30.0,40.0,/t/dd00129
5UlO9POoHw0,280.0,290.0,"/m/04rlf,/m/07yv9,/m/0k4j,/t/dd00129"
5UqA_VikLRU,10.0,20.0,"/m/04rlf,/t/dd00125,/t/dd00129"
5VsafHCtbMU,210.0,220.0,"/m/07yv9,/t/dd00092,/t/dd00129"
5WC33wvsB9g,10.0,20.0,"/m/04rlf,/m/05fw6t,/m/0jbk,/t/dd00129"
5WI_Qea-JHI,420.0,430.0,"/m/04rlf,/t/dd00129"
5Xq8cxXthm4,20.0,30.0,"/m/04rlf,/t/dd00129"
5Y-I_0SeSNw,50.0,60.0,"/m/06wzb,/t/dd00129"
5Y2sEO6MFLg,17.0,27.0,"/m/07jdr,/m/07yv9,/t/dd00129"
5YL78gxMi4k,90.0,100.0,"/m/07yv9,/m/0k4j,/t/dd00129"
5Y_-krBiXAc,30.0,40.0,/t/dd00129
5YgZAfkYjY8,320.0,330.0,/t/dd00129
5YhsOdyAQbw,10.0,20.0,/t/dd00129
5ZDJAjqzqa0,27.0,37.0,/t/dd00129
5Z_1sCKHGx0,30.0,40.0,/t/dd00129
5_1sUmO0_AA,30.0,40.0,"/m/04rlf,/t/dd00129"
5_G4AFoEdII,40.0,50.0,/t/dd00129
5_Y7-kVkK7k,270.0,280.0,"/m/04rlf,/t/dd00129"
5_bmp2t4TMQ,10.0,20.0,"/m/04rlf,/t/dd00129"
5_r6bKQtfu4,0.0,10.0,"/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5_zQzzAJh0E,80.0,90.0,"/t/dd00066,/t/dd00129"
5aI26gZfvQE,140.0,150.0,"/m/07pbtc8,/t/dd00129"
5aK6YIjy4ck,60.0,70.0,/t/dd00129
5aNZRxJG4Kw,300.0,310.0,/t/dd00129
5aa8hj-r2Os,60.0,70.0,/t/dd00129
5ae2lLd0exs,0.0,10.0,"/m/04rlf,/t/dd00129"
5b9L4XoydCE,27.0,37.0,/t/dd00129
5bGyhkOmo6Q,0.0,10.0,"/m/04rlf,/t/dd00129"
5c3gkXl6GxA,360.0,370.0,/t/dd00129
5cEbFppeQi8,230.0,240.0,"/m/04rlf,/t/dd00129"
5cQtqb7uxuA,20.0,30.0,"/m/04rlf,/t/dd00129"
5d6E-262WOo,30.0,40.0,"/m/09ld4,/m/0jbk,/t/dd00129"
5dG6YboLu9A,0.0,10.0,/t/dd00129
5daQfWHcviQ,0.0,10.0,"/m/0cj0r,/t/dd00129"
5du54luuGjE,50.0,60.0,"/m/0jbk,/t/dd00129"
5e4QvjJkYEY,60.0,70.0,/t/dd00129
5e6GQgMbQIE,21.0,31.0,"/m/0912c9,/t/dd00129"
5eHrm9KUJUY,360.0,370.0,"/m/01wy6,/m/04rlf,/t/dd00129"
5eYnxBWwvpA,50.0,60.0,"/m/07yv9,/t/dd00129"
5edMTnb-6MM,180.0,190.0,"/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5fNMkskpG10,40.0,50.0,"/m/07pbtc8,/t/dd00129"
5fbJ-qr1rgA,170.0,180.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129,/t/dd00134"
5frLQyu9ijs,50.0,60.0,"/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5ft_LJ_IfcA,40.0,50.0,/t/dd00129
5fwhVsdgrQw,240.0,250.0,/t/dd00129
5g1W4ftYexs,10.0,20.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00129"
5gDn97zTkKs,560.0,570.0,"/m/04_sv,/m/07yv9,/t/dd00129"
5gOwcKM2QhQ,100.0,110.0,/t/dd00129
5h-DfOkshVc,70.0,80.0,"/m/012f08,/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5h7hurXMpfs,50.0,60.0,"/m/07yv9,/m/09ct_,/t/dd00129"
5hwCCRE_bec,60.0,70.0,"/m/07yv9,/t/dd00129"
5iu-g9HnXUs,50.0,60.0,/t/dd00129
5j0KG0GYXEM,30.0,40.0,/t/dd00129
5jFig23lDcM,15.0,25.0,"/m/07yv9,/t/dd00129"
5jPGcZVYcyo,150.0,160.0,"/m/07r04,/m/07yv9,/t/dd00129"
5j_Jggvv7KY,150.0,160.0,"/m/07k1x,/t/dd00129"
5jq58SbsTm4,90.0,100.0,/t/dd00129
5kJlfTktA3I,10.0,20.0,"/m/04zmvq,/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00129"
5kxr1gZeiGE,270.0,280.0,"/m/07yv9,/t/dd00129"
5l6v93mbPtM,190.0,200.0,"/m/028v0c,/t/dd00129"
5lGnace6LZs,100.0,110.0,"/m/04rlf,/t/dd00129"
5loIbeBnqo0,30.0,40.0,/t/dd00129
5lyDhcdDAG8,16.0,26.0,/t/dd00129
5n9c5YWGn-k,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00129"
5nLMoPNEtlQ,0.0,10.0,/t/dd00129
5nkVvvHzxpg,60.0,70.0,"/m/07yv9,/t/dd00066,/t/dd00129,/t/dd00130"
5oNHFppJKyM,80.0,90.0,"/m/04_sv,/m/07yv9,/t/dd00125,/t/dd00129"
5oYD4vtapcc,20.0,30.0,"/m/02mk9,/m/07yv9,/t/dd00067,/t/dd00129"
5oZ9xLbuU5o,380.0,390.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00129"
5o_EYD_obd4,0.0,10.0,/t/dd00129
5p7UCxwxID0,20.0,30.0,"/m/034srq,/t/dd00129"
5pX0ZqeHgXs,18.0,28.0,"/m/04rlf,/t/dd00129"
5pdf2dAxvfo,60.0,70.0,"/m/07pbtc8,/t/dd00129"
5pzNCIdERsg,8.0,18.0,/t/dd00129
5qFSsAmNiYc,0.0,10.0,"/m/028v0c,/m/07yv9,/t/dd00129"
5qW22QWo4Lw,190.0,200.0,"/m/07yv9,/t/dd00129"
5r-jTPHAJ3Y,170.0,180.0,/t/dd00129
5r7TsBKzGp0,0.0,10.0,"/m/0cj0r,/t/dd00129"
5r80U_mtMGs,120.0,130.0,"/m/028v0c,/m/0jbk,/t/dd00129"
5rNv_zBixJ0,10.0,20.0,"/m/028v0c,/t/dd00129"
5rRrgDI6-hM,220.0,230.0,"/m/07yv9,/t/dd00129"
5rUYm_-0s8A,250.0,260.0,/t/dd00129
5rby6NL0Ze4,0.0,10.0,"/m/04_sv,/m/07yv9,/t/dd00129"
5rmzJxbYJZ0,30.0,40.0,/t/dd00129
5rrwSsOeFso,230.0,240.0,"/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00048,/t/dd00129"
5rvZmjhZNfk,10.0,20.0,"/m/07yv9,/m/09ct_,/t/dd00129"
5rvuGtwUt2o,360.0,370.0,"/m/01rd7k,/m/028v0c,/t/dd00129"
5s0YJ7xtukQ,30.0,40.0,"/m/07yv9,/t/dd00129"
5sD0jHMf6wQ,110.0,120.0,/t/dd00129
5srpIcf18FQ,250.0,260.0,/t/dd00129
5t8Lgjtos8A,130.0,140.0,"/m/04rlf,/t/dd00129"
5tCpvRZFVNg,50.0,60.0,"/m/04rlf,/m/0jbk,/t/dd00129"
5tLBQzyZZA4,10.0,20.0,"/m/04rlf,/t/dd00129"
5tOaCaK06gc,10.0,20.0,"/m/02mk9,/m/07yv9,/m/09ct_,/m/0k4j,/m/0ltv,/t/dd00129"
5tPKKt9ePiw,550.0,560.0,/t/dd00129
5tVJOoeQaYY,10.0,20.0,"/m/07yv9,/t/dd00129"
5tZl7sW4a5g,0.0,10.0,/t/dd00129
5tvaEbwAGgE,100.0,110.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00129"
5uXUyEf8bzY,30.0,40.0,"/m/06h7j,/t/dd00129"
5vnWWuFUuWE,110.0,120.0,/t/dd00129
5w-VFQRxI7E,0.0,10.0,"/m/04rlf,/t/dd00129"
5w8o0YBktME,320.0,330.0,"/m/07yv9,/t/dd00129"
5wnQZUFop0w,30.0,40.0,/t/dd00129
5wy8IsabeVc,30.0,40.0,"/m/078jl,/m/0jbk,/t/dd00129"
5yQHG6SqBmk,80.0,90.0,"/m/04rlf,/t/dd00129"
5yvmag46sio,250.0,260.0,"/m/04rlf,/t/dd00129"
5zH0YSTtD-U,20.0,30.0,"/m/019jd,/m/07q2z82,/m/07yv9,/t/dd00129"
5zYPHdH1kss,10.0,20.0,/t/dd00129
5zjPUbTHgYY,30.0,40.0,/t/dd00129
5zyWzmWjV_4,50.0,60.0,"/m/0jbk,/t/dd00129"
6-_wy3-_qLg,420.0,430.0,/t/dd00129
6-o0UquIycM,0.0,10.0,/t/dd00129
60aZrrbQagg,130.0,140.0,"/m/01bjv,/m/07yv9,/t/dd00129"
62GwBBX6MBw,30.0,40.0,"/m/04rlf,/t/dd00129"
62JFB7_DSFs,40.0,50.0,/t/dd00129
62R-06wR5tk,520.0,530.0,"/m/07yv9,/m/0k4j,/t/dd00129"
62fwAenoiMc,30.0,40.0,"/m/0jbk,/t/dd00129"
62lPOyfUgFI,290.0,300.0,"/m/04rlf,/t/dd00129"
636Dp8eHWnM,100.0,110.0,/t/dd00129
637Ex59A4mE,220.0,230.0,"/m/04rlf,/t/dd00129"
63KqUriBoeQ,250.0,260.0,"/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129"
63Wmc-JWYIE,220.0,230.0,/t/dd00129
